county,old_pct,new_pct
Albany County                                ,0.11,0.11002387568985088
Allegany County                              ,0.09300000000000001,0.09344227948879112
Bronx County                                 ,0.121,0.12133864892705212
Broome County                                ,0.098,0.09805950840879689
Cattaraugus County                           ,0.11,0.11005402865867982
Cayuga County                                ,0.096,0.09619625137816978
Chautauqua County                            ,0.09300000000000001,0.09323258869908016
Chemung County                               ,0.098,0.09821324302230526
Chenango County                              ,0.095,0.09478168264110756
Clinton County                               ,0.1,0.09997334044254866
Columbia County                              ,0.11900000000000001,0.1189995966115369
Cortland County                              ,0.09300000000000001,0.0929112181693049
Delaware County                              ,0.102,0.10169842584921293
Dutchess County                              ,0.135,0.1206612448838569
Erie County                                  ,0.083,0.08339973149674194
Essex County                                 ,0.11599999999999999,0.11587449518484001
Franklin County                              ,0.094,0.09401709401709402
Fulton County                                ,0.096,0.09597156398104266
Genesee County                               ,0.10400000000000001,0.10402752479255212
Greene County                                ,0.106,0.10618829761618108
Hamilton County                              ,0.139,0.13896457765667575
Herkimer County                              ,0.106,0.10600034584125886
Jefferson County                             ,0.08900000000000001,0.08853995396251234
Kings County                                 ,0.126,0.12539213364557844
Lewis County                                 ,0.09699999999999999,0.09669811320754718
Livingston County                            ,0.099,0.09878787878787879
Madison County                               ,0.086,0.08612634572415194
Monroe County                                ,0.10300000000000001,0.1025260029717682
Montgomery County                            ,0.098,0.09846153846153846
Nassau County                                ,0.162,0.15613690224679883
New York County                              ,0.111,0.11128189900613089
Niagara County                               ,0.08900000000000001,0.08890286732714787
Oneida County                                ,0.106,0.10565455947036684
Onondaga County                              ,0.102,0.1020931129101753
Ontario County                               ,0.10099999999999999,0.10102186004397878
Orange County                                ,0.135,0.12551805802249852
Orleans County                               ,0.11199999999999999,0.11211832061068702
Oswego County                                ,0.102,0.10249568356615917
Otsego County                                ,0.106,0.10597412480974125
Putnam County                                ,0.177,0.1765432098765432
Queens County                                ,0.188,0.18617997482336088
Rensselaer County                            ,0.107,0.10678153651596585
Richmond County                              ,0.124,0.11790239618617489
Rockland County                              ,0.139,0.12807862636935746
St. Lawrence County                          ,0.10099999999999999,0.10111457868925545
Saratoga County                              ,0.115,0.11527609834744054
Schenectady County                           ,0.11699999999999999,0.11714931796629952
Schoharie County                             ,0.096,0.09575289575289575
Schuyler County                              ,0.1,0.1004343105320304
Seneca County                                ,0.11900000000000001,0.11913696060037524
Steuben County                               ,0.11800000000000001,0.11795307357468945
Suffolk County                               ,0.162,0.15764277715565508
Sullivan County                              ,0.122,0.12248479176415536
Tioga County                                 ,0.1,0.09957038160222391
Tompkins County                              ,0.10300000000000001,0.10262047133309884
Ulster County                                ,0.14,0.1239771590039442
Warren County                                ,0.096,0.09632396304305091
Washington County                            ,0.105,0.10477360477360477
Wayne County                                 ,0.124,0.12434254888739042
Westchester County                           ,0.185,0.17879984622374445
Wyoming County                               ,0.092,0.09170579029733959
Yates County                                 ,0.16399999999999998,0.16383616383616384
