county,old_pct,new_pct
Albany County                                                         ,0.10099999999999999,0.1011388490836413
Allegany County                                                       ,0.09699999999999999,0.09651416122004357
Bronx County                                                          ,0.11,0.10943824582097873
Broome County                                                         ,0.102,0.10219435736677115
Cattaraugus County                                                    ,0.087,0.08701738014697305
Cayuga County                                                         ,0.091,0.09079247434435576
Chautauqua County                                                     ,0.098,0.09800824175824176
Chemung County                                                        ,0.09699999999999999,0.09651067802544054
Chenango County                                                       ,0.091,0.09070990359333918
Clinton County                                                        ,0.087,0.08724085153749826
Columbia County                                                       ,0.11199999999999999,0.11165444172779136
Cortland County                                                       ,0.08800000000000001,0.08834463153291056
Delaware County                                                       ,0.10300000000000001,0.10291595197255575
Dutchess County                                                       ,0.128,0.11389776357827476
Erie County                                                           ,0.08,0.08008258654015112
Essex County                                                          ,0.111,0.11136437642461738
Franklin County                                                       ,0.084,0.0838095238095238
Fulton County                                                         ,0.091,0.09111737751145577
Genesee County                                                        ,0.086,0.0858575308126175
Greene County                                                         ,0.091,0.09053297639328303
Hamilton County                                                       ,0.11699999999999999,0.11716621253405994
Herkimer County                                                       ,0.08800000000000001,0.08771610555050045
Jefferson County                                                      ,0.094,0.09435610693692119
Kings County                                                          ,0.10800000000000001,0.10774422336128263
Lewis County                                                          ,0.10099999999999999,0.10146103896103896
Livingston County                                                     ,0.115,0.11451155249290636
Madison County                                                        ,0.094,0.09385313531353136
Monroe County                                                         ,0.09,0.08990454766536965
Montgomery County                                                     ,0.105,0.10498883097542815
Nassau County                                                         ,0.134,0.12944573561518416
New York County                                                       ,0.11,0.1096575470814204
Niagara County                                                        ,0.08,0.08048028557520688
Oneida County                                                         ,0.09300000000000001,0.09336653032189222
Onondaga County                                                       ,0.087,0.087425035242396
Ontario County                                                        ,0.109,0.1090885618383682
Orange County                                                         ,0.136,0.12696217189912506
Orleans County                                                        ,0.114,0.11396766498807315
Oswego County                                                         ,0.099,0.09886373061292196
Otsego County                                                         ,0.107,0.10677496038034866
Putnam County                                                         ,0.147,0.14736842105263157
Queens County                                                         ,0.163,0.16105967008041164
Rensselaer County                                                     ,0.106,0.10550887021475257
Richmond County                                                       ,0.113,0.10774536072243723
Rockland County                                                       ,0.153,0.14201141729508773
St. Lawrence County                                                   ,0.086,0.08645193844083761
Saratoga County                                                       ,0.102,0.10232261154122436
Schenectady County                                                    ,0.09,0.08995491167122478
Schoharie County                                                      ,0.11,0.10951239008792965
Schuyler County                                                       ,0.099,0.09860724233983287
Seneca County                                                         ,0.11599999999999999,0.116331096196868
Steuben County                                                        ,0.098,0.09832427033625568
Suffolk County                                                        ,0.14400000000000002,0.14045531332957928
Sullivan County                                                       ,0.125,0.12512112403100775
Tioga County                                                          ,0.084,0.08440737932777356
Tompkins County                                                       ,0.106,0.10584291187739464
Ulster County                                                         ,0.16399999999999998,0.1457204155374887
Warren County                                                         ,0.091,0.09094480455706148
Washington County                                                     ,0.087,0.08733295689817429
Wayne County                                                          ,0.11599999999999999,0.11581619022174726
Westchester County                                                    ,0.147,0.14246845559976873
Wyoming County                                                        ,0.094,0.09385327164573695
Yates County                                                          ,0.171,0.17065868263473055
