county,old_pct,new_pct
Albany County                                ,0.111,0.1105233733281727
Allegany County                              ,0.09300000000000001,0.09260493004663557
Bronx County                                 ,0.135,0.13347769523092198
Broome County                                ,0.09699999999999999,0.09725462939979149
Cattaraugus County                           ,0.11599999999999999,0.11587471716089079
Cayuga County                                ,0.098,0.0975609756097561
Chautauqua County                            ,0.094,0.09411597700333593
Chemung County                               ,0.09,0.09025732940724619
Chenango County                              ,0.086,0.08596795149415332
Clinton County                               ,0.099,0.09917127071823205
Columbia County                              ,0.124,0.12442007591733446
Cortland County                              ,0.092,0.09226594301221167
Delaware County                              ,0.107,0.10729118597138902
Dutchess County                              ,0.121,0.10678218957998623
Erie County                                  ,0.084,0.08426639436720058
Essex County                                 ,0.099,0.09930795847750865
Franklin County                              ,0.106,0.10633706101628408
Fulton County                                ,0.092,0.09182590233545647
Genesee County                               ,0.094,0.09401330376940133
Greene County                                ,0.095,0.09535951045385008
Hamilton County                              ,0.159,0.15946843853820597
Herkimer County                              ,0.107,0.10652608616615161
Jefferson County                             ,0.086,0.08640830706471352
Kings County                                 ,0.13,0.12961084090577618
Lewis County                                 ,0.095,0.0946872322193659
Livingston County                            ,0.109,0.10876658690450294
Madison County                               ,0.087,0.08691328560063644
Monroe County                                ,0.08900000000000001,0.08891549466537342
Montgomery County                            ,0.096,0.09636593744350028
Nassau County                                ,0.14300000000000002,0.13754936098196743
New York County                              ,0.09699999999999999,0.09735861733846052
Niagara County                               ,0.087,0.08749796073739735
Oneida County                                ,0.10099999999999999,0.10083599473980838
Onondaga County                              ,0.099,0.09871442867773472
Ontario County                               ,0.111,0.11069703243616287
Orange County                                ,0.12300000000000001,0.1135420303347686
Orleans County                               ,0.087,0.08669772256728779
Oswego County                                ,0.086,0.08618203409958436
Otsego County                                ,0.10300000000000001,0.10296991012114107
Putnam County                                ,0.127,0.12714955706096925
Queens County                                ,0.196,0.19368436513182052
Rensselaer County                            ,0.08199999999999999,0.08201839507214581
Richmond County                              ,0.1,0.10044693369540621
Rockland County                              ,0.129,0.11800588054592531
St. Lawrence County                          ,0.09300000000000001,0.09250296776550086
Saratoga County                              ,0.11199999999999999,0.11178329571106095
Schenectady County                           ,0.09,0.09003137822833696
Schoharie County                             ,0.098,0.09797822706065319
Schuyler County                              ,0.08900000000000001,0.08938869665513265
Seneca County                                ,0.10800000000000001,0.10773849232821882
Steuben County                               ,0.109,0.10936819172113289
Suffolk County                               ,0.13699999999999998,0.1325281492168791
Sullivan County                              ,0.12,0.1201699641481875
Tioga County                                 ,0.094,0.09369024856596558
Tompkins County                              ,0.086,0.0862052505966587
Ulster County                                ,0.115,0.10036780749329842
Warren County                                ,0.1,0.09979338842975206
Washington County                            ,0.092,0.09196478741337329
Wayne County                                 ,0.121,0.1208034012608122
Westchester County                           ,0.16399999999999998,0.15772604264629675
Wyoming County                               ,0.09,0.09028727770177838
Yates County                                 ,0.136,0.13566084788029925
